ClinicID,ClinicName,WeekStart,TotalScheduled,Year,Month,lag_1w,lag_2w,lag_4w,rolling_mean_4w,Month_Sin,Month_Cos,Is_Flu_Season,Is_Holiday_Week
1,Nexora Care - Riverside,2024-01-29,283,2024,1,284.0,261.0,269.0,282.5,0.49999999999999994,0.8660254037844387,1,0
1,Nexora Care - Riverside,2024-02-05,321,2024,2,283.0,284.0,316.0,286.0,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-02-12,322,2024,2,321.0,283.0,261.0,287.25,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-02-19,334,2024,2,322.0,321.0,284.0,302.5,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-02-26,332,2024,2,334.0,322.0,283.0,315.0,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-03-04,298,2024,3,332.0,334.0,321.0,327.25,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2024-03-11,302,2024,3,298.0,332.0,322.0,321.5,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2024-03-18,262,2024,3,302.0,298.0,334.0,316.5,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2024-03-25,256,2024,3,262.0,302.0,332.0,298.5,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2024-04-01,291,2024,4,256.0,262.0,298.0,279.5,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2024-04-08,317,2024,4,291.0,256.0,302.0,277.75,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2024-04-15,293,2024,4,317.0,291.0,262.0,281.5,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2024-04-22,323,2024,4,293.0,317.0,256.0,289.25,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2024-04-29,346,2024,4,323.0,293.0,291.0,306.0,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2024-05-06,297,2024,5,346.0,323.0,317.0,319.75,0.49999999999999994,-0.8660254037844387,0,0
1,Nexora Care - Riverside,2024-05-13,303,2024,5,297.0,346.0,293.0,314.75,0.49999999999999994,-0.8660254037844387,0,0
1,Nexora Care - Riverside,2024-05-20,275,2024,5,303.0,297.0,323.0,317.25,0.49999999999999994,-0.8660254037844387,0,0
1,Nexora Care - Riverside,2024-05-27,257,2024,5,275.0,303.0,346.0,305.25,0.49999999999999994,-0.8660254037844387,0,0
1,Nexora Care - Riverside,2024-06-03,282,2024,6,257.0,275.0,297.0,283.0,1.2246467991473532e-16,-1.0,0,0
1,Nexora Care - Riverside,2024-06-10,272,2024,6,282.0,257.0,303.0,279.25,1.2246467991473532e-16,-1.0,0,0
1,Nexora Care - Riverside,2024-06-17,210,2024,6,272.0,282.0,275.0,271.5,1.2246467991473532e-16,-1.0,0,0
1,Nexora Care - Riverside,2024-06-24,233,2024,6,210.0,272.0,257.0,255.25,1.2246467991473532e-16,-1.0,0,0
1,Nexora Care - Riverside,2024-07-01,225,2024,7,233.0,210.0,282.0,249.25,-0.4999999999999997,-0.8660254037844388,0,0
1,Nexora Care - Riverside,2024-07-08,236,2024,7,225.0,233.0,272.0,235.0,-0.4999999999999997,-0.8660254037844388,0,0
1,Nexora Care - Riverside,2024-07-15,257,2024,7,236.0,225.0,210.0,226.0,-0.4999999999999997,-0.8660254037844388,0,0
1,Nexora Care - Riverside,2024-07-22,261,2024,7,257.0,236.0,233.0,237.75,-0.4999999999999997,-0.8660254037844388,0,0
1,Nexora Care - Riverside,2024-07-29,254,2024,7,261.0,257.0,225.0,244.75,-0.4999999999999997,-0.8660254037844388,0,0
1,Nexora Care - Riverside,2024-08-05,267,2024,8,254.0,261.0,236.0,252.0,-0.8660254037844385,-0.5000000000000004,0,0
1,Nexora Care - Riverside,2024-08-12,294,2024,8,267.0,254.0,257.0,259.75,-0.8660254037844385,-0.5000000000000004,0,0
1,Nexora Care - Riverside,2024-08-19,246,2024,8,294.0,267.0,261.0,269.0,-0.8660254037844385,-0.5000000000000004,0,0
1,Nexora Care - Riverside,2024-08-26,205,2024,8,246.0,294.0,254.0,265.25,-0.8660254037844385,-0.5000000000000004,0,0
1,Nexora Care - Riverside,2024-09-02,252,2024,9,205.0,246.0,267.0,253.0,-1.0,-1.8369701987210297e-16,0,0
1,Nexora Care - Riverside,2024-09-09,303,2024,9,252.0,205.0,294.0,249.25,-1.0,-1.8369701987210297e-16,0,0
1,Nexora Care - Riverside,2024-09-16,227,2024,9,303.0,252.0,246.0,251.5,-1.0,-1.8369701987210297e-16,0,0
1,Nexora Care - Riverside,2024-09-23,231,2024,9,227.0,303.0,205.0,246.75,-1.0,-1.8369701987210297e-16,0,0
1,Nexora Care - Riverside,2024-09-30,253,2024,9,231.0,227.0,252.0,253.25,-1.0,-1.8369701987210297e-16,0,0
1,Nexora Care - Riverside,2024-10-07,321,2024,10,253.0,231.0,303.0,253.5,-0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-10-14,212,2024,10,321.0,253.0,227.0,258.0,-0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-10-21,254,2024,10,212.0,321.0,231.0,254.25,-0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-10-28,274,2024,10,254.0,212.0,253.0,260.0,-0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2024-11-04,244,2024,11,274.0,254.0,321.0,265.25,-0.5000000000000004,0.8660254037844384,1,0
1,Nexora Care - Riverside,2024-11-11,231,2024,11,244.0,274.0,212.0,246.0,-0.5000000000000004,0.8660254037844384,1,0
1,Nexora Care - Riverside,2024-11-18,249,2024,11,231.0,244.0,254.0,250.75,-0.5000000000000004,0.8660254037844384,1,1
1,Nexora Care - Riverside,2024-11-25,210,2024,11,249.0,231.0,274.0,249.5,-0.5000000000000004,0.8660254037844384,1,0
1,Nexora Care - Riverside,2024-12-02,332,2024,12,210.0,249.0,244.0,233.5,-2.4492935982947064e-16,1.0,1,0
1,Nexora Care - Riverside,2024-12-09,373,2024,12,332.0,210.0,231.0,255.5,-2.4492935982947064e-16,1.0,1,0
1,Nexora Care - Riverside,2024-12-16,331,2024,12,373.0,332.0,249.0,291.0,-2.4492935982947064e-16,1.0,1,0
1,Nexora Care - Riverside,2024-12-23,272,2024,12,331.0,373.0,210.0,311.5,-2.4492935982947064e-16,1.0,1,1
1,Nexora Care - Riverside,2024-12-30,260,2024,12,272.0,331.0,332.0,327.0,-2.4492935982947064e-16,1.0,1,0
1,Nexora Care - Riverside,2025-01-06,334,2025,1,260.0,272.0,373.0,309.0,0.49999999999999994,0.8660254037844387,1,0
1,Nexora Care - Riverside,2025-01-13,353,2025,1,334.0,260.0,331.0,299.25,0.49999999999999994,0.8660254037844387,1,0
1,Nexora Care - Riverside,2025-01-20,344,2025,1,353.0,334.0,272.0,304.75,0.49999999999999994,0.8660254037844387,1,0
1,Nexora Care - Riverside,2025-01-27,318,2025,1,344.0,353.0,260.0,322.75,0.49999999999999994,0.8660254037844387,1,0
1,Nexora Care - Riverside,2025-02-03,329,2025,2,318.0,344.0,334.0,337.25,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2025-02-10,321,2025,2,329.0,318.0,353.0,336.0,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2025-02-17,334,2025,2,321.0,329.0,344.0,328.0,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2025-02-24,335,2025,2,334.0,321.0,318.0,325.5,0.8660254037844386,0.5000000000000001,1,0
1,Nexora Care - Riverside,2025-03-03,265,2025,3,335.0,334.0,329.0,329.75,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2025-03-10,300,2025,3,265.0,335.0,321.0,313.75,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2025-03-17,325,2025,3,300.0,265.0,334.0,308.5,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2025-03-24,309,2025,3,325.0,300.0,335.0,306.25,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2025-03-31,291,2025,3,309.0,325.0,265.0,299.75,1.0,6.123233995736766e-17,0,0
1,Nexora Care - Riverside,2025-04-07,295,2025,4,291.0,309.0,300.0,306.25,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2025-04-14,296,2025,4,295.0,291.0,325.0,305.0,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2025-04-21,325,2025,4,296.0,295.0,309.0,297.75,0.8660254037844387,-0.4999999999999998,0,0
1,Nexora Care - Riverside,2025-04-28,266,2025,4,325.0,296.0,291.0,301.75,0.8660254037844387,-0.4999999999999998,0,0
